Date,ARKK,DIA,EFA,IWM,QQQ,SPY,VOO,VTI,XLF,XLK
2021-02-09,152.3905487060547,288.56732177734375,65.92874145507812,215.485595703125,324.0644226074219,365.3655700683594,334.8993835449219,192.53988647460938,28.80872917175293,131.54965209960938
2021-02-10,150.59054565429688,289.1004638671875,65.70211791992188,214.0703125,323.3260192871094,365.2064208984375,334.768798828125,192.4557647705078,28.80872917175293,131.35696411132812
2021-02-11,152.0364532470703,289.2659606933594,66.14663696289062,213.8249969482422,325.1041259765625,365.7962646484375,335.3102111816406,192.91372680664062,28.716686248779297,132.8017578125
2021-02-12,154.0135040283203,289.59686279296875,66.5127182006836,214.42884826660156,326.9212646484375,367.6031188964844,337.0182800292969,193.91368103027344,29.011220932006836,133.48558044433594
2021-02-16,152.57742309570312,290.09307861328125,66.99211883544922,213.07958984375,326.03692626953125,367.28485107421875,336.7010192871094,193.56793212890625,29.508237838745117,133.05218505859375
2021-02-17,149.67578125,291.0307922363281,66.59989166259766,211.40951538085938,324.4725646972656,367.36920166015625,336.775634765625,193.16603088378906,29.655502319335938,131.8771209716797
2021-02-18,146.74462890625,290.0749206542969,66.26866912841797,208.1354522705078,323.053955078125,365.8056335449219,335.3381652832031,192.0539093017578,29.480623245239258,131.23175048828125
2021-02-19,150.1085662841797,290.0389099121094,66.4604263305664,212.47569274902344,321.64501953125,365.15960693359375,334.7220458984375,192.49317932128906,29.830379486083984,131.0391387939453
2021-02-22,141.42330932617188,290.30596923828125,66.2948226928711,211.09815979003906,313.3079833984375,362.3508605957031,332.0897521972656,190.6614227294922,30.106502532958984,128.14964294433594
2021-02-23,136.76100158691406,290.4718017578125,66.35582733154297,209.23939514160156,312.37518310546875,362.7909240722656,332.50982666015625,190.6333770751953,30.29058074951172,127.79325103759766
2021-02-24,136.0528106689453,294.2847595214844,66.56501007080078,214.1835479736328,314.95013427734375,366.78863525390625,336.1876220703125,192.77354431152344,30.879638671875,129.74850463867188
2021-02-25,127.38720703125,289.1731262207031,65.43193817138672,206.2672119140625,303.9700927734375,357.95062255859375,328.1226501464844,187.73619079589844,30.318187713623047,125.21198272705078
2021-02-26,128.22328186035156,285.00115966796875,64.50801849365234,205.9841766357422,305.2431640625,356.106201171875,326.3211364746094,186.9885711669922,29.73833465576172,125.87657928466797
2021-03-01,134.4593505859375,290.65606689453125,65.71955108642578,213.30609130859375,314.4254455566406,364.7383117675781,334.2833557128906,191.79220581054688,30.66794776916504,129.93148803710938
2021-03-02,131.32162475585938,289.3666076660156,65.64982604980469,209.20164489746094,309.3824768066406,361.89215087890625,331.69775390625,189.9884796142578,30.55750274658203,127.87029266357422
2021-03-03,123.059326171875,288.26141357421875,65.2488784790039,206.93714904785156,300.404052734375,357.0986633300781,327.3199768066406,187.250244140625,30.796802520751953,124.6533432006836
2021-03-04,116.48882293701172,285.1207275390625,64.63003540039062,201.1532440185547,295.4874267578125,352.67962646484375,323.28741455078125,184.28765869140625,30.44705581665039,121.89868927001953
2021-03-05,115.15110778808594,290.33355712890625,65.04840850830078,205.4180450439453,299.93768310546875,359.1676940917969,329.2147521972656,187.61473083496094,31.026905059814453,124.20063018798828
2021-03-08,108.4527359008789,293.1058044433594,64.82180786132812,206.38987731933594,291.4452209472656,357.3794860839844,327.59991455078125,186.6988067626953,31.42267608642578,121.19554901123047
2021-03-09,119.75439453125,293.4373474121094,65.69339752197266,210.73016357421875,302.9402160644531,362.48193359375,332.18316650390625,189.59600830078125,31.137353897094727,125.31790161132812
2021-03-10,119.20358276367188,297.7842712402344,65.97232818603516,214.39109802246094,302.0754089355469,364.7383117675781,334.2366638183594,190.95111083984375,31.772443771362305,124.81707763671875
2021-03-11,126.57080078125,299.6263122558594,66.32096862792969,219.10879516601562,309.0325927734375,368.4364013671875,337.76507568359375,193.44644165039062,31.680397033691406,127.48503875732422
2021-03-12,124.60359191894531,302.37109375,66.486572265625,220.40145874023438,306.5256652832031,368.9325866699219,338.24114990234375,193.82960510253906,32.002540588378906,126.57003784179688
2021-03-15,126.76753997802734,304.0103759765625,66.53886413574219,221.18460083007812,309.8002014160156,371.13275146484375,340.2012939453125,195.18472290039062,31.818450927734375,127.91846466064453
2021-03-16,123.95440673828125,302.87750244140625,66.65216827392578,217.48590087890625,311.5006408691406,370.6646423339844,339.8186950683594,194.39967346191406,31.48710823059082,128.8816375732422
2021-03-17,125.37080383300781,304.63665771484375,67.04441833496094,219.1937255859375,312.783203125,371.92864990234375,340.9294738769531,195.1379852294922,31.698801040649414,128.77569580078125
2021-03-18,118.10193634033203,303.3380126953125,66.43428802490234,212.5229034423828,303.20257568359375,366.5171813964844,335.9169006347656,191.58663940429688,31.864469528198242,125.20233154296875
2021-03-19,120.35440063476562,300.8656005859375,66.6173095703125,214.1269073486328,304.27142333984375,365.8390197753906,335.3195495605469,191.8296356201172,31.49631690979004,124.82671356201172
2021-03-22,122.67572021484375,302.00079345703125,66.67832946777344,212.51344299316406,309.9773864746094,368.7601623535156,337.9704284667969,192.86697387695312,31.090457916259766,127.28121185302734
2021-03-23,119.70521545410156,299.0660705566406,65.7544174194336,204.80470275878906,308.6251525878906,365.8577880859375,335.4875183105469,190.67076110839844,30.655956268310547,126.48974609375
2021-03-24,112.89864349365234,299.08447265625,65.42320251464844,200.06817626953125,303.42010498046875,363.9978942871094,333.6299743652344,189.09132385253906,30.76689338684082,124.955078125
2021-03-25,112.54454803466797,301.0317077636719,65.91130828857422,204.81175231933594,302.8946228027344,366.0456237792969,335.5061950683594,190.49032592773438,31.284605026245117,124.87786865234375
2021-03-26,112.1019287109375,305.1107482910156,66.76548767089844,208.5457763671875,307.4382019042969,371.9444580078125,340.9795227050781,193.60340881347656,31.77458953857422,128.05337524414062
2021-03-29,109.34781646728516,306.0798034667969,66.50402069091797,202.67535400390625,307.35064697265625,371.756591796875,340.77337646484375,192.69390869140625,31.497243881225586,127.38733673095703
2021-03-30,112.54454803466797,305.3047180175781,66.41685485839844,206.08792114257812,305.8036804199219,370.7703857421875,339.9022521972656,192.63763427734375,31.719120025634766,126.1808853149414
2021-03-31,117.98390197753906,304.7140197753906,66.12921905517578,208.85769653320312,310.4834289550781,372.2731628417969,341.25115966796875,193.8097381591797,31.47875213623047,128.1885223388672
2021-04-01,118.86914825439453,305.88604736328125,66.99211883544922,211.50457763671875,315.7759704589844,376.29339599609375,344.8669128417969,196.2383575439453,31.867042541503906,130.76556396484375
2021-04-05,119.64620208740234,309.34686279296875,67.96831512451172,212.6673126220703,322.0804138183594,381.69439697265625,349.8409118652344,198.5263214111328,32.11665344238281,133.4681396484375
2021-04-06,121.80030822753906,308.5807800292969,67.24486541748047,212.0434112548828,321.8566589355469,381.4689636230469,349.644287109375,198.60130310058594,32.05193328857422,132.89865112304688
2021-04-07,118.83964538574219,308.5807800292969,67.38432312011719,208.62136840820312,322.6349792480469,381.9103698730469,350.08447265625,198.43251037597656,32.20909118652344,133.60328674316406
2021-04-08,122.105224609375,309.28216552734375,67.76783752441406,210.38914489746094,326.0012512207031,383.72320556640625,351.78936767578125,199.5858612060547,32.21833801269531,135.53369140625
2021-04-09,121.23965454101562,311.8016357421875,67.9770278930664,210.41744995117188,327.9761962890625,386.5129089355469,354.3185119628906,200.7954864501953,32.495697021484375,136.8367156982422
2021-04-12,120.46260070800781,311.5155944824219,67.60222625732422,209.5950469970703,327.5481262207031,386.65386962890625,354.47772216796875,200.8517608642578,32.634361267089844,136.1803741455078
2021-04-13,125.46916198730469,310.8141784667969,67.99446105957031,209.04673767089844,331.3716125488281,387.79986572265625,355.4425964355469,201.4143829345703,32.32927703857422,137.46408081054688
